Formulation,Helper_lipid_ID,Ionizable_Lipid_Mol_Ratio,Phospholipid_Mol_Ratio,Cholesterol_Mol_Ratio,PEG_Lipid_Mol_Ratio,Ionizable_Lipid_to_mRNA_weight_ratio,Lipid/Cells,mRNA/Cells
Han_branched,DSPC,50.0,10.0,38.5,1.5,10.0,100.0,10.0
Han_branched,DOPE,40.0,10.164751344086024,19.559226690805648,1.1343862500000004,10.0,400.0,40.0
Han_branched,DOPE,40.0,12.050100806451615,23.187055476529174,1.3447912500000003,10.0,400.0,40.0
Han_branched,DOPE,40.0,13.935450268817217,26.81488426225271,1.5551962500000014,10.0,400.0,40.0
Han_branched,DOPE,40.0,15.820799731182811,30.44271304797624,1.7656012500000016,10.0,400.0,40.0
Han_branched,DOPE,40.0,17.706149193548406,34.070541833699764,1.976006250000002,10.0,400.0,40.0
Han_branched,DOPE,40.0,16.760517473118295,32.25093754041126,1.8704737500000015,10.0,400.0,40.0
Han_branched,DOPE,40.0,18.645866935483888,35.87876632613478,2.0808787500000014,10.0,400.0,40.0
Han_branched,DOPE,40.0,20.531216397849462,39.506595111858275,2.2912837500000003,10.0,400.0,40.0
Han_branched,DOPE,37.0933434465019,20.78763440860215,40.0,2.3198999999999996,10.0,400.0,40.0
Han_branched,DOPE,34.215631373362385,20.787634408602152,40.0,2.3198999999999996,10.0,400.0,40.0
Han_branched,DOPE,40.0,18.64586693548388,35.878766326134766,2.080878750000001,10.0,400.0,40.0
Han_branched,DOPE,40.0,20.531216397849462,39.506595111858275,2.2912837500000003,10.0,400.0,40.0
Han_branched,DOPE,37.09334344650188,20.78763440860215,40.0,2.3198999999999996,10.0,400.0,40.0
Han_branched,DOPE,34.21563137336238,20.787634408602152,40.0,2.3198999999999996,10.0,400.0,40.0
Han_branched,DOPE,31.75228047574017,20.787634408602152,40.0,2.3199,10.0,400.0,40.0
Han_branched,DOPE,40.0,20.53121639784947,39.50659511185828,2.2912837500000007,10.0,400.0,40.0
Han_branched,DOPE,37.09334344650188,20.78763440860215,40.0,2.3198999999999996,10.0,400.0,40.0
Han_branched,DOPE,34.21563137336238,20.787634408602152,40.0,2.3198999999999996,10.0,400.0,40.0
Han_branched,DOPE,31.75228047574017,20.787634408602152,40.0,2.3199,10.0,400.0,40.0
Han_branched,DOPE,29.619805587707592,20.78763440860215,40.0,2.3198999999999996,10.0,400.0,40.0
Han_branched,DOPE,37.09334344650188,20.78763440860215,40.0,2.3198999999999996,10.0,400.0,40.0
Han_branched,DOPE,34.21563137336238,20.787634408602152,40.0,2.3198999999999996,10.0,400.0,40.0
Han_branched,DOPE,31.75228047574017,20.787634408602152,40.0,2.3199,10.0,400.0,40.0
Han_branched,DOPE,29.619805587707592,20.78763440860215,40.0,2.3198999999999996,10.0,400.0,40.0
Han_branched,DOPE,27.75573748610567,20.787634408602152,40.0,2.3199,10.0,400.0,40.0
Han_branched,DOPE,34.21563137336238,20.787634408602152,40.0,2.3198999999999996,10.0,400.0,40.0
Han_branched,DOPE,31.75228047574017,20.787634408602152,40.0,2.3199,10.0,400.0,40.0
Han_branched,DOPE,29.619805587707592,20.78763440860215,40.0,2.3198999999999996,10.0,400.0,40.0
Han_branched,DOPE,27.75573748610567,20.787634408602152,40.0,2.3199,10.0,400.0,40.0
Han_branched,DOPE,26.11240142794284,20.78763440860215,40.0,2.3198999999999996,10.0,400.0,40.0
Han_branched,DSPC,50.0,10.0,38.5,1.5,10.0,400.0,40.0
