Index,LNP_ID,Experiment_ID,Formulation_ID,IL_name,IL_SMILES,IL_protonated_SMILES,IL_head_name,IL_head_SMILES,IL_linker_name,IL_linker_SMILES,IL_tail1_name,IL_tail1_SMILES,IL_tail2_name,IL_tail2_SMILES,IL_tail3_name,IL_tail3_SMILES,IL_tail4_name,IL_tail4_SMILES,IL_molratio,IL_to_nucleicacid_massratio,IL_to_nucleicacid_chargeratio,HL_name,HL_SMILES,HL_molratio,CHL_name,CHL_SMILES,CHL_molratio,PEG_name,PEG_SMILES,PEG_molratio,fifthcomponent_name,fifthcomponent_SMILES,fifthcomponent_molratio,Aqueous_buffer,Dialysis_buffer,Mixing_method,Model,Model_type,Model_target,Route_of_administration,Cargo,Cargo_type,Dose_ug_nucleicacid,Experiment_method,Experiment_batching,Experiment_value,Publication_link,Publication_PMID,Heavy.Atoms,Rings,Aromatic.Rings,Rotatable.Bonds,van.der.Waals.Molecular.Volume,Topological.Polar.Surface.Area,Hydrogen.Bond.Donors,Hydrogen.Bond.Acceptors,LogP,Molar.Refractivity,Fraction.sp3.Carbons,sp3.Carbons,Nitrogen.Count,Molecular.Weight,has_ester,has_carbonate,has_disulfide
13202,LNP_0013202,LX_2024,LX_2024_F181,1_A2_T6b,CCCCC(C)C(=O)Oc1cc(CNCCN(C)CCNCc2cc(OC(=O)C(C)CCCC)cc(OC(=O)C(C)CCCC)c2)cc(OC(=O)C(C)CCCC)c1,CCCCC(C)C(=O)Oc1cc(CNCC[NH+](C)CCNCc2cc(OC(=O)C(C)CCCC)cc(OC(=O)C(C)CCCC)c2)cc(OC(=O)C(C)CCCC)c1,1,CN(CCN)CCN,,,A2_T6b,CCCCC(C)C(=O)Oc1cc(C=O)cc(OC(=O)C(C)CCCC)c1,,,,,,,35.0,10.0,,DOPE,CCCCCCCC/C=C\CCCCCCCC(=O)OC[C@H](COP(=O)([O-])OCC[NH3+])OC(=O)CCCCCCC/C=C\CCCCCCCC,16.0,Cholesterol,CC(C)CCC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CC=C4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@]12C,46.5,DMPE-PEG2000,CCCCCCCCCCCCCC(=O)OCC(COP(=O)(O)OCCNCC(=O)OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOC)OC(=O)CCCCCCCCCCCCC,2.5,,,0.0,citrate,PBS,handmixed,in_vivo,Mouse_B6,heart,intravenous,mRNA,DNA_barcode,5.0,uptake,barcoded,-0.219378448,https://www.nature.com/articles/s41467-024-45422-9,38424061.0,58,2,2,30,809.5554164,132.5,2,11,9.4246,231.0904,0.659574468,4,3,810.13,True,False,False
13203,LNP_0013203,LX_2024,LX_2024_F182,2_A2_T6b,CCCCC(C)C(=O)Oc1cc(CNCCCN(C)CCCNCc2cc(OC(=O)C(C)CCCC)cc(OC(=O)C(C)CCCC)c2)cc(OC(=O)C(C)CCCC)c1,CCCCC(C)C(=O)Oc1cc(CNCCC[NH+](C)CCCNCc2cc(OC(=O)C(C)CCCC)cc(OC(=O)C(C)CCCC)c2)cc(OC(=O)C(C)CCCC)c1,2,CN(CCCN)CCCN,,,A2_T6b,CCCCC(C)C(=O)Oc1cc(C=O)cc(OC(=O)C(C)CCCC)c1,,,,,,,35.0,10.0,,DOPE,CCCCCCCC/C=C\CCCCCCCC(=O)OC[C@H](COP(=O)([O-])OCC[NH3+])OC(=O)CCCCCCC/C=C\CCCCCCCC,16.0,Cholesterol,CC(C)CCC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CC=C4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@]12C,46.5,DMPE-PEG2000,CCCCCCCCCCCCCC(=O)OCC(COP(=O)(O)OCCNCC(=O)OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOC)OC(=O)CCCCCCCCCCCCC,2.5,,,0.0,citrate,PBS,handmixed,in_vivo,Mouse_B6,heart,intravenous,mRNA,DNA_barcode,5.0,uptake,barcoded,0.684675893,https://www.nature.com/articles/s41467-024-45422-9,38424061.0,60,2,2,32,837.5867165,132.5,2,11,10.2048,240.3244,0.673469388,4,3,838.184,True,False,False
13204,LNP_0013204,LX_2024,LX_2024_F183,3_A2_T6b,CCCCC(C)C(=O)Oc1cc(CNCCN2CCN(CCNCc3cc(OC(=O)C(C)CCCC)cc(OC(=O)C(C)CCCC)c3)CC2)cc(OC(=O)C(C)CCCC)c1,CCCCC(C)C(=O)Oc1cc(CNCCN2CC[NH+](CCNCc3cc(OC(=O)C(C)CCCC)cc(OC(=O)C(C)CCCC)c3)CC2)cc(OC(=O)C(C)CCCC)c1,3,NCCN1CCN(CCN)CC1,,,A2_T6b,CCCCC(C)C(=O)Oc1cc(C=O)cc(OC(=O)C(C)CCCC)c1,,,,,,,35.0,10.0,,DOPE,CCCCCCCC/C=C\CCCCCCCC(=O)OC[C@H](COP(=O)([O-])OCC[NH3+])OC(=O)CCCCCCC/C=C\CCCCCCCC,16.0,Cholesterol,CC(C)CCC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CC=C4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@]12C,46.5,DMPE-PEG2000,CCCCCCCCCCCCCC(=O)OCC(COP(=O)(O)OCCNCC(=O)OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOC)OC(=O)CCCCCCCCCCCCC,2.5,,,0.0,citrate,PBS,handmixed,in_vivo,Mouse_B6,heart,intravenous,mRNA,DNA_barcode,5.0,uptake,barcoded,1.263319867,https://www.nature.com/articles/s41467-024-45422-9,38424061.0,62,3,2,30,864.5976155,135.74,2,12,9.1104,246.4734,0.68,4,4,865.21,True,False,False
13205,LNP_0013205,LX_2024,LX_2024_F184,4_A2_T6b,CCCCC(C)C(=O)Oc1cc(CNCCCN2CCN(CCCNCc3cc(OC(=O)C(C)CCCC)cc(OC(=O)C(C)CCCC)c3)CC2)cc(OC(=O)C(C)CCCC)c1,CCCCC(C)C(=O)Oc1cc(CNCCCN2CC[NH+](CCCNCc3cc(OC(=O)C(C)CCCC)cc(OC(=O)C(C)CCCC)c3)CC2)cc(OC(=O)C(C)CCCC)c1,4,NCCCN1CCN(CCCN)CC1,,,A2_T6b,CCCCC(C)C(=O)Oc1cc(C=O)cc(OC(=O)C(C)CCCC)c1,,,,,,,35.0,10.0,,DOPE,CCCCCCCC/C=C\CCCCCCCC(=O)OC[C@H](COP(=O)([O-])OCC[NH3+])OC(=O)CCCCCCC/C=C\CCCCCCCC,16.0,Cholesterol,CC(C)CCC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CC=C4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@]12C,46.5,DMPE-PEG2000,CCCCCCCCCCCCCC(=O)OCC(COP(=O)(O)OCCNCC(=O)OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOC)OC(=O)CCCCCCCCCCCCC,2.5,,,0.0,citrate,PBS,handmixed,in_vivo,Mouse_B6,heart,intravenous,mRNA,DNA_barcode,5.0,uptake,barcoded,1.251311545,https://www.nature.com/articles/s41467-024-45422-9,38424061.0,64,3,2,32,892.6289156,135.74,2,12,9.8906,255.7074,0.692307692,4,4,893.264,True,False,False
13206,LNP_0013206,LX_2024,LX_2024_F185,1_A3_T9b2,CCCCC(CC)CCC(=O)Oc1cc(OC(=O)CCC(CC)CCCC)c(CNCCN(C)CCNCc2c(OC(=O)CCC(CC)CCCC)cc(OC(=O)CCC(CC)CCCC)cc2OC(=O)CCC(CC)CCCC)c(OC(=O)CCC(CC)CCCC)c1,CCCCC(CC)CCC(=O)Oc1cc(OC(=O)CCC(CC)CCCC)c(CNCC[NH+](C)CCNCc2c(OC(=O)CCC(CC)CCCC)cc(OC(=O)CCC(CC)CCCC)cc2OC(=O)CCC(CC)CCCC)c(OC(=O)CCC(CC)CCCC)c1,1,CN(CCN)CCN,,,A3_T9b2,CCCCC(CC)CCC(=O)Oc1cc(OC(=O)CCC(CC)CCCC)c(C=O)c(OC(=O)CCC(CC)CCCC)c1,,,,,,,35.0,10.0,,DOPE,CCCCCCCC/C=C\CCCCCCCC(=O)OC[C@H](COP(=O)([O-])OCC[NH3+])OC(=O)CCCCCCC/C=C\CCCCCCCC,16.0,Cholesterol,CC(C)CCC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CC=C4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@]12C,46.5,DMPE-PEG2000,CCCCCCCCCCCCCC(=O)OCC(COP(=O)(O)OCCNCC(=O)OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOC)OC(=O)CCCCCCCCCCCCC,2.5,,,0.0,citrate,PBS,handmixed,in_vivo,Mouse_B6,heart,intravenous,mRNA,DNA_barcode,5.0,uptake,barcoded,0.057589723,https://www.nature.com/articles/s41467-024-45422-9,38424061.0,94,2,2,58,1318.004577,185.1,2,15,19.9098,382.8444,0.772151899,6,3,1318.958,True,False,False
13207,LNP_0013207,LX_2024,LX_2024_F186,1_A3_T9b2,CCCCC(CC)CCC(=O)Oc1cc(OC(=O)CCC(CC)CCCC)c(CNCCN(C)CCNCc2c(OC(=O)CCC(CC)CCCC)cc(OC(=O)CCC(CC)CCCC)cc2OC(=O)CCC(CC)CCCC)c(OC(=O)CCC(CC)CCCC)c1,CCCCC(CC)CCC(=O)Oc1cc(OC(=O)CCC(CC)CCCC)c(CNCC[NH+](C)CCNCc2c(OC(=O)CCC(CC)CCCC)cc(OC(=O)CCC(CC)CCCC)cc2OC(=O)CCC(CC)CCCC)c(OC(=O)CCC(CC)CCCC)c1,1,CN(CCN)CCN,,,A3_T9b2,CCCCC(CC)CCC(=O)Oc1cc(OC(=O)CCC(CC)CCCC)c(C=O)c(OC(=O)CCC(CC)CCCC)c1,,,,,,,35.0,10.0,,DOPE,CCCCCCCC/C=C\CCCCCCCC(=O)OC[C@H](COP(=O)([O-])OCC[NH3+])OC(=O)CCCCCCC/C=C\CCCCCCCC,16.0,Cholesterol,CC(C)CCC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CC=C4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@]12C,46.5,DMPE-PEG2000,CCCCCCCCCCCCCC(=O)OCC(COP(=O)(O)OCCNCC(=O)OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOC)OC(=O)CCCCCCCCCCCCC,2.5,,,0.0,citrate,PBS,handmixed,in_vivo,Mouse_B6,heart,intravenous,mRNA,DNA_barcode,5.0,uptake,barcoded,-0.111936137,https://www.nature.com/articles/s41467-024-45422-9,38424061.0,94,2,2,58,1318.004577,185.1,2,15,19.9098,382.8444,0.772151899,6,3,1318.958,True,False,False
13208,LNP_0013208,LX_2024,LX_2024_F187,1_A2_T7b,CCCCCC(C)C(=O)Oc1cc(CNCCN(C)CCNCc2cc(OC(=O)C(C)CCCCC)cc(OC(=O)C(C)CCCCC)c2)cc(OC(=O)C(C)CCCCC)c1,CCCCCC(C)C(=O)Oc1cc(CNCC[NH+](C)CCNCc2cc(OC(=O)C(C)CCCCC)cc(OC(=O)C(C)CCCCC)c2)cc(OC(=O)C(C)CCCCC)c1,1,CN(CCN)CCN,,,A2_T7b,CCCCCC(C)C(=O)Oc1cc(C=O)cc(OC(=O)C(C)CCCCC)c1,,,,,,,35.0,10.0,,DOPE,CCCCCCCC/C=C\CCCCCCCC(=O)OC[C@H](COP(=O)([O-])OCC[NH3+])OC(=O)CCCCCCC/C=C\CCCCCCCC,16.0,Cholesterol,CC(C)CCC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CC=C4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@]12C,46.5,DMPE-PEG2000,CCCCCCCCCCCCCC(=O)OCC(COP(=O)(O)OCCNCC(=O)OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOC)OC(=O)CCCCCCCCCCCCC,2.5,,,0.0,citrate,PBS,handmixed,in_vivo,Mouse_B6,heart,intravenous,mRNA,DNA_barcode,5.0,uptake,barcoded,0.250086275,https://www.nature.com/articles/s41467-024-45422-9,38424061.0,62,2,2,34,865.6180166,132.5,2,11,10.985,249.5584,0.68627451,4,3,866.238,True,False,False
13209,LNP_0013209,LX_2024,LX_2024_F188,2_A2_T7b,CCCCCC(C)C(=O)Oc1cc(CNCCCN(C)CCCNCc2cc(OC(=O)C(C)CCCCC)cc(OC(=O)C(C)CCCCC)c2)cc(OC(=O)C(C)CCCCC)c1,CCCCCC(C)C(=O)Oc1cc(CNCCC[NH+](C)CCCNCc2cc(OC(=O)C(C)CCCCC)cc(OC(=O)C(C)CCCCC)c2)cc(OC(=O)C(C)CCCCC)c1,2,CN(CCCN)CCCN,,,A2_T7b,CCCCCC(C)C(=O)Oc1cc(C=O)cc(OC(=O)C(C)CCCCC)c1,,,,,,,35.0,10.0,,DOPE,CCCCCCCC/C=C\CCCCCCCC(=O)OC[C@H](COP(=O)([O-])OCC[NH3+])OC(=O)CCCCCCC/C=C\CCCCCCCC,16.0,Cholesterol,CC(C)CCC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CC=C4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@]12C,46.5,DMPE-PEG2000,CCCCCCCCCCCCCC(=O)OCC(COP(=O)(O)OCCNCC(=O)OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOC)OC(=O)CCCCCCCCCCCCC,2.5,,,0.0,citrate,PBS,handmixed,in_vivo,Mouse_B6,heart,intravenous,mRNA,DNA_barcode,5.0,uptake,barcoded,-0.001013345,https://www.nature.com/articles/s41467-024-45422-9,38424061.0,64,2,2,36,893.6493167,132.5,2,11,11.7652,258.7924,0.698113208,4,3,894.292,True,False,False
13210,LNP_0013210,LX_2024,LX_2024_F189,3_A2_T7b,CCCCCC(C)C(=O)Oc1cc(CNCCN2CCN(CCNCc3cc(OC(=O)C(C)CCCCC)cc(OC(=O)C(C)CCCCC)c3)CC2)cc(OC(=O)C(C)CCCCC)c1,CCCCCC(C)C(=O)Oc1cc(CNCCN2CC[NH+](CCNCc3cc(OC(=O)C(C)CCCCC)cc(OC(=O)C(C)CCCCC)c3)CC2)cc(OC(=O)C(C)CCCCC)c1,3,NCCN1CCN(CCN)CC1,,,A2_T7b,CCCCCC(C)C(=O)Oc1cc(C=O)cc(OC(=O)C(C)CCCCC)c1,,,,,,,35.0,10.0,,DOPE,CCCCCCCC/C=C\CCCCCCCC(=O)OC[C@H](COP(=O)([O-])OCC[NH3+])OC(=O)CCCCCCC/C=C\CCCCCCCC,16.0,Cholesterol,CC(C)CCC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CC=C4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@]12C,46.5,DMPE-PEG2000,CCCCCCCCCCCCCC(=O)OCC(COP(=O)(O)OCCNCC(=O)OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOC)OC(=O)CCCCCCCCCCCCC,2.5,,,0.0,citrate,PBS,handmixed,in_vivo,Mouse_B6,heart,intravenous,mRNA,DNA_barcode,5.0,uptake,barcoded,0.848396295,https://www.nature.com/articles/s41467-024-45422-9,38424061.0,66,3,2,34,920.6602158,135.74,2,12,10.6708,264.9414,0.703703704,4,4,921.318,True,False,False
13211,LNP_0013211,LX_2024,LX_2024_F190,4_A2_T7b,CCCCCC(C)C(=O)Oc1cc(CNCCCN2CCN(CCCNCc3cc(OC(=O)C(C)CCCCC)cc(OC(=O)C(C)CCCCC)c3)CC2)cc(OC(=O)C(C)CCCCC)c1,CCCCCC(C)C(=O)Oc1cc(CNCCCN2CC[NH+](CCCNCc3cc(OC(=O)C(C)CCCCC)cc(OC(=O)C(C)CCCCC)c3)CC2)cc(OC(=O)C(C)CCCCC)c1,4,NCCCN1CCN(CCCN)CC1,,,A2_T7b,CCCCCC(C)C(=O)Oc1cc(C=O)cc(OC(=O)C(C)CCCCC)c1,,,,,,,35.0,10.0,,DOPE,CCCCCCCC/C=C\CCCCCCCC(=O)OC[C@H](COP(=O)([O-])OCC[NH3+])OC(=O)CCCCCCC/C=C\CCCCCCCC,16.0,Cholesterol,CC(C)CCC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CC=C4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@]12C,46.5,DMPE-PEG2000,CCCCCCCCCCCCCC(=O)OCC(COP(=O)(O)OCCNCC(=O)OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOC)OC(=O)CCCCCCCCCCCCC,2.5,,,0.0,citrate,PBS,handmixed,in_vivo,Mouse_B6,heart,intravenous,mRNA,DNA_barcode,5.0,uptake,barcoded,1.191146861,https://www.nature.com/articles/s41467-024-45422-9,38424061.0,68,3,2,36,948.6915159,135.74,2,12,11.451,274.1754,0.714285714,4,4,949.372,True,False,False
13212,LNP_0013212,LX_2024,LX_2024_F191,1_A3_T9b2,CCCCC(CC)CCC(=O)Oc1cc(OC(=O)CCC(CC)CCCC)c(CNCCN(C)CCNCc2c(OC(=O)CCC(CC)CCCC)cc(OC(=O)CCC(CC)CCCC)cc2OC(=O)CCC(CC)CCCC)c(OC(=O)CCC(CC)CCCC)c1,CCCCC(CC)CCC(=O)Oc1cc(OC(=O)CCC(CC)CCCC)c(CNCC[NH+](C)CCNCc2c(OC(=O)CCC(CC)CCCC)cc(OC(=O)CCC(CC)CCCC)cc2OC(=O)CCC(CC)CCCC)c(OC(=O)CCC(CC)CCCC)c1,1,CN(CCN)CCN,,,A3_T9b2,CCCCC(CC)CCC(=O)Oc1cc(OC(=O)CCC(CC)CCCC)c(C=O)c(OC(=O)CCC(CC)CCCC)c1,,,,,,,35.0,10.0,,DOPE,CCCCCCCC/C=C\CCCCCCCC(=O)OC[C@H](COP(=O)([O-])OCC[NH3+])OC(=O)CCCCCCC/C=C\CCCCCCCC,16.0,Cholesterol,CC(C)CCC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CC=C4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@]12C,46.5,DMPE-PEG2000,CCCCCCCCCCCCCC(=O)OCC(COP(=O)(O)OCCNCC(=O)OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOC)OC(=O)CCCCCCCCCCCCC,2.5,,,0.0,citrate,PBS,handmixed,in_vivo,Mouse_B6,heart,intravenous,mRNA,DNA_barcode,5.0,uptake,barcoded,0.059663399,https://www.nature.com/articles/s41467-024-45422-9,38424061.0,94,2,2,58,1318.004577,185.1,2,15,19.9098,382.8444,0.772151899,6,3,1318.958,True,False,False
13213,LNP_0013213,LX_2024,LX_2024_F192,1_A3_T9b2,CCCCC(CC)CCC(=O)Oc1cc(OC(=O)CCC(CC)CCCC)c(CNCCN(C)CCNCc2c(OC(=O)CCC(CC)CCCC)cc(OC(=O)CCC(CC)CCCC)cc2OC(=O)CCC(CC)CCCC)c(OC(=O)CCC(CC)CCCC)c1,CCCCC(CC)CCC(=O)Oc1cc(OC(=O)CCC(CC)CCCC)c(CNCC[NH+](C)CCNCc2c(OC(=O)CCC(CC)CCCC)cc(OC(=O)CCC(CC)CCCC)cc2OC(=O)CCC(CC)CCCC)c(OC(=O)CCC(CC)CCCC)c1,1,CN(CCN)CCN,,,A3_T9b2,CCCCC(CC)CCC(=O)Oc1cc(OC(=O)CCC(CC)CCCC)c(C=O)c(OC(=O)CCC(CC)CCCC)c1,,,,,,,35.0,10.0,,DOPE,CCCCCCCC/C=C\CCCCCCCC(=O)OC[C@H](COP(=O)([O-])OCC[NH3+])OC(=O)CCCCCCC/C=C\CCCCCCCC,16.0,Cholesterol,CC(C)CCC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CC=C4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@]12C,46.5,DMPE-PEG2000,CCCCCCCCCCCCCC(=O)OCC(COP(=O)(O)OCCNCC(=O)OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOC)OC(=O)CCCCCCCCCCCCC,2.5,,,0.0,citrate,PBS,handmixed,in_vivo,Mouse_B6,heart,intravenous,mRNA,DNA_barcode,5.0,uptake,barcoded,1.44549306,https://www.nature.com/articles/s41467-024-45422-9,38424061.0,94,2,2,58,1318.004577,185.1,2,15,19.9098,382.8444,0.772151899,6,3,1318.958,True,False,False
13214,LNP_0013214,LX_2024,LX_2024_F193,1_A2_T7b2,CCCCC(CC)C(=O)Oc1cc(CNCCN(C)CCNCc2cc(OC(=O)C(CC)CCCC)cc(OC(=O)C(CC)CCCC)c2)cc(OC(=O)C(CC)CCCC)c1,CCCCC(CC)C(=O)Oc1cc(CNCC[NH+](C)CCNCc2cc(OC(=O)C(CC)CCCC)cc(OC(=O)C(CC)CCCC)c2)cc(OC(=O)C(CC)CCCC)c1,1,CN(CCN)CCN,,,A2_T7b2,CCCCC(CC)C(=O)Oc1cc(C=O)cc(OC(=O)C(CC)CCCC)c1,,,,,,,35.0,10.0,,DOPE,CCCCCCCC/C=C\CCCCCCCC(=O)OC[C@H](COP(=O)([O-])OCC[NH3+])OC(=O)CCCCCCC/C=C\CCCCCCCC,16.0,Cholesterol,CC(C)CCC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CC=C4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@]12C,46.5,DMPE-PEG2000,CCCCCCCCCCCCCC(=O)OCC(COP(=O)(O)OCCNCC(=O)OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOC)OC(=O)CCCCCCCCCCCCC,2.5,,,0.0,citrate,PBS,handmixed,in_vivo,Mouse_B6,heart,intravenous,mRNA,DNA_barcode,5.0,uptake,barcoded,-0.228780174,https://www.nature.com/articles/s41467-024-45422-9,38424061.0,62,2,2,34,865.6180166,132.5,2,11,10.985,249.5584,0.68627451,4,3,866.238,True,False,False
13215,LNP_0013215,LX_2024,LX_2024_F194,2_A2_T7b2,CCCCC(CC)C(=O)Oc1cc(CNCCCN(C)CCCNCc2cc(OC(=O)C(CC)CCCC)cc(OC(=O)C(CC)CCCC)c2)cc(OC(=O)C(CC)CCCC)c1,CCCCC(CC)C(=O)Oc1cc(CNCCC[NH+](C)CCCNCc2cc(OC(=O)C(CC)CCCC)cc(OC(=O)C(CC)CCCC)c2)cc(OC(=O)C(CC)CCCC)c1,2,CN(CCCN)CCCN,,,A2_T7b2,CCCCC(CC)C(=O)Oc1cc(C=O)cc(OC(=O)C(CC)CCCC)c1,,,,,,,35.0,10.0,,DOPE,CCCCCCCC/C=C\CCCCCCCC(=O)OC[C@H](COP(=O)([O-])OCC[NH3+])OC(=O)CCCCCCC/C=C\CCCCCCCC,16.0,Cholesterol,CC(C)CCC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CC=C4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@]12C,46.5,DMPE-PEG2000,CCCCCCCCCCCCCC(=O)OCC(COP(=O)(O)OCCNCC(=O)OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOC)OC(=O)CCCCCCCCCCCCC,2.5,,,0.0,citrate,PBS,handmixed,in_vivo,Mouse_B6,heart,intravenous,mRNA,DNA_barcode,5.0,uptake,barcoded,0.457199768,https://www.nature.com/articles/s41467-024-45422-9,38424061.0,64,2,2,36,893.6493167,132.5,2,11,11.7652,258.7924,0.698113208,4,3,894.292,True,False,False
13216,LNP_0013216,LX_2024,LX_2024_F195,3_A2_T7b2,CCCCC(CC)C(=O)Oc1cc(CNCCN2CCN(CCNCc3cc(OC(=O)C(CC)CCCC)cc(OC(=O)C(CC)CCCC)c3)CC2)cc(OC(=O)C(CC)CCCC)c1,CCCCC(CC)C(=O)Oc1cc(CNCCN2CC[NH+](CCNCc3cc(OC(=O)C(CC)CCCC)cc(OC(=O)C(CC)CCCC)c3)CC2)cc(OC(=O)C(CC)CCCC)c1,3,NCCN1CCN(CCN)CC1,,,A2_T7b2,CCCCC(CC)C(=O)Oc1cc(C=O)cc(OC(=O)C(CC)CCCC)c1,,,,,,,35.0,10.0,,DOPE,CCCCCCCC/C=C\CCCCCCCC(=O)OC[C@H](COP(=O)([O-])OCC[NH3+])OC(=O)CCCCCCC/C=C\CCCCCCCC,16.0,Cholesterol,CC(C)CCC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CC=C4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@]12C,46.5,DMPE-PEG2000,CCCCCCCCCCCCCC(=O)OCC(COP(=O)(O)OCCNCC(=O)OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOC)OC(=O)CCCCCCCCCCCCC,2.5,,,0.0,citrate,PBS,handmixed,in_vivo,Mouse_B6,heart,intravenous,mRNA,DNA_barcode,5.0,uptake,barcoded,1.446488439,https://www.nature.com/articles/s41467-024-45422-9,38424061.0,66,3,2,34,920.6602158,135.74,2,12,10.6708,264.9414,0.703703704,4,4,921.318,True,False,False
