Index,LNP_ID,Experiment_ID,Formulation_ID,IL_name,IL_SMILES,IL_protonated_SMILES,IL_head_name,IL_head_SMILES,IL_linker_name,IL_linker_SMILES,IL_tail1_name,IL_tail1_SMILES,IL_tail2_name,IL_tail2_SMILES,IL_tail3_name,IL_tail3_SMILES,IL_tail4_name,IL_tail4_SMILES,IL_molratio,IL_to_nucleicacid_massratio,IL_to_nucleicacid_chargeratio,HL_name,HL_SMILES,HL_molratio,CHL_name,CHL_SMILES,CHL_molratio,PEG_name,PEG_SMILES,PEG_molratio,fifthcomponent_name,fifthcomponent_SMILES,fifthcomponent_molratio,Aqueous_buffer,Dialysis_buffer,Mixing_method,Model,Model_type,Model_target,Route_of_administration,Cargo,Cargo_type,Dose_ug_nucleicacid,Experiment_method,Experiment_batching,Experiment_value,Publication_link,Publication_PMID,Heavy.Atoms,Rings,Aromatic.Rings,Rotatable.Bonds,van.der.Waals.Molecular.Volume,Topological.Polar.Surface.Area,Hydrogen.Bond.Donors,Hydrogen.Bond.Acceptors,LogP,Molar.Refractivity,Fraction.sp3.Carbons,sp3.Carbons,Nitrogen.Count,Molecular.Weight,has_ester,has_carbonate,has_disulfide
2170,LNP_0002170,KW_2014,KW_2014_F1183,A31_C14,CCCCCCCCCCCCCCOC(=O)CCN(CCOCCO)CCC(=O)OCCCCCCCCCCCCCC,CCCCCCCCCCCCCCOC(=O)CC[NH+](CCOCCO)CCC(=O)OCCCCCCCCCCCCCC,A31,NCCOCCO,,,C14,C=CC(=O)OCCCCCCCCCCCCCC,,,,,,,50.0,10.0,,DSPC,CCCCCCCCCCCCCCCCCC(=O)OC[C@H](COP(=O)([O-])OCC[N+](C)(C)C)OC(=O)CCCCCCCCCCCCCCCCC,10.0,Cholesterol,CC(C)CCC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CC=C4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@]12C,38.5,DMG-PEG2000,CCCCCCCCCCCCCC(=O)OCC(COCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOC)OC(=O)CCCCCCCCCCCCC,1.5,,,0.0,citrate,PBS,handmixed,in_vivo,Mouse_B6,liver,intravenous,siRNA,FVII,100.0,protein_adundance_normalized,individual,-1.060448398,https://www.nature.com/articles/ncomms5277,24969323.0,45,0,0,37,641.5594391,85.3,1,7,9.5661,187.6528,0.947368421,0,1,642.019,True,False,False
2171,LNP_0002171,KW_2014,KW_2014_F1184,A32_C14,CCCCCCCCCCCCCCOC(=O)CCN(CCCCCO)CCC(=O)OCCCCCCCCCCCCCC,CCCCCCCCCCCCCCOC(=O)CC[NH+](CCCCCO)CCC(=O)OCCCCCCCCCCCCCC,A32,,,,C14,C=CC(=O)OCCCCCCCCCCCCCC,,,,,,,50.0,10.0,,DSPC,CCCCCCCCCCCCCCCCCC(=O)OC[C@H](COP(=O)([O-])OCC[N+](C)(C)C)OC(=O)CCCCCCCCCCCCCCCCC,10.0,Cholesterol,CC(C)CCC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CC=C4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@]12C,38.5,DMG-PEG2000,CCCCCCCCCCCCCC(=O)OCC(COCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOC)OC(=O)CCCCCCCCCCCCC,1.5,,,0.0,citrate,PBS,handmixed,in_vivo,Mouse_B6,liver,intravenous,siRNA,FVII,100.0,protein_adundance_normalized,individual,-0.926611119,https://www.nature.com/articles/ncomms5277,24969323.0,45,0,0,37,639.5801746,76.07,1,6,10.7198,190.6848,0.948717949,0,1,640.047,True,False,False
2172,LNP_0002172,KW_2014,KW_2014_F1185,A36_C14,CCCCCCCCCCCCCCOC(=O)CCN(CCCCCCO)CCC(=O)OCCCCCCCCCCCCCC,CCCCCCCCCCCCCCOC(=O)CC[NH+](CCCCCCO)CCC(=O)OCCCCCCCCCCCCCC,A36,NCCCCCCO,,,C14,C=CC(=O)OCCCCCCCCCCCCCC,,,,,,,50.0,10.0,,DSPC,CCCCCCCCCCCCCCCCCC(=O)OC[C@H](COP(=O)([O-])OCC[N+](C)(C)C)OC(=O)CCCCCCCCCCCCCCCCC,10.0,Cholesterol,CC(C)CCC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CC=C4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@]12C,38.5,DMG-PEG2000,CCCCCCCCCCCCCC(=O)OCC(COCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOC)OC(=O)CCCCCCCCCCCCC,1.5,,,0.0,citrate,PBS,handmixed,in_vivo,Mouse_B6,liver,intravenous,siRNA,FVII,100.0,protein_adundance_normalized,individual,-0.113260748,https://www.nature.com/articles/ncomms5277,24969323.0,46,0,0,38,653.5958246,76.07,1,6,11.1099,195.3018,0.95,0,1,654.074,True,False,False
2173,LNP_0002173,KW_2014,KW_2014_F1186,A64_C14,CCCCCCCCCCCCCCOC(=O)CCN(CC)CCCN(CC)CCC(=O)OCCCCCCCCCCCCCC,CCCCCCCCCCCCCCOC(=O)CCN(CC)CCC[NH+](CC)CCC(=O)OCCCCCCCCCCCCCC,A64,CCNCCCNCC,,,C14,C=CC(=O)OCCCCCCCCCCCCCC,,,,,,,50.0,10.0,,DSPC,CCCCCCCCCCCCCCCCCC(=O)OC[C@H](COP(=O)([O-])OCC[N+](C)(C)C)OC(=O)CCCCCCCCCCCCCCCCC,10.0,Cholesterol,CC(C)CCC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CC=C4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@]12C,38.5,DMG-PEG2000,CCCCCCCCCCCCCC(=O)OCC(COCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOC)OC(=O)CCCCCCCCCCCCC,1.5,,,0.0,citrate,PBS,handmixed,in_vivo,Mouse_B6,liver,intravenous,siRNA,FVII,100.0,protein_adundance_normalized,individual,-1.162126526,https://www.nature.com/articles/ncomms5277,24969323.0,47,0,0,38,666.6274591,59.08,0,6,11.2891,202.153,0.951219512,0,2,667.117,True,False,False
2174,LNP_0002174,KW_2014,KW_2014_F1187,A68_C10,CCCCCCCCCCOC(=O)CCN(C)CCOCCN(C)CCC(=O)OCCCCCCCCCC,CCCCCCCCCCOC(=O)CCN(C)CCOCC[NH+](C)CCC(=O)OCCCCCCCCCC,A68,,,,C10,C=CC(=O)OCCCCCCCCCC,,,,,,,50.0,10.0,,DSPC,CCCCCCCCCCCCCCCCCC(=O)OC[C@H](COP(=O)([O-])OCC[N+](C)(C)C)OC(=O)CCCCCCCCCCCCCCCCC,10.0,Cholesterol,CC(C)CCC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CC=C4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@]12C,38.5,DMG-PEG2000,CCCCCCCCCCCCCC(=O)OCC(COCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOC)OC(=O)CCCCCCCCCCCCC,1.5,,,0.0,citrate,PBS,handmixed,in_vivo,Mouse_B6,liver,intravenous,siRNA,FVII,100.0,protein_adundance_normalized,individual,-0.903694911,https://www.nature.com/articles/ncomms5277,24969323.0,39,0,0,30,556.4815231,68.31,0,7,7.0146,162.185,0.9375,0,2,556.873,True,False,False
2175,LNP_0002175,KW_2014,KW_2014_F1188,A68_C11,CCCCCCCCCCCOC(=O)CCN(C)CCOCCN(C)CCC(=O)OCCCCCCCCCCC,CCCCCCCCCCCOC(=O)CCN(C)CCOCC[NH+](C)CCC(=O)OCCCCCCCCCCC,A68,,,,C11,C=CC(=O)OCCCCCCCCCCC,,,,,,,50.0,10.0,,DSPC,CCCCCCCCCCCCCCCCCC(=O)OC[C@H](COP(=O)([O-])OCC[N+](C)(C)C)OC(=O)CCCCCCCCCCCCCCCCC,10.0,Cholesterol,CC(C)CCC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CC=C4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@]12C,38.5,DMG-PEG2000,CCCCCCCCCCCCCC(=O)OCC(COCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOC)OC(=O)CCCCCCCCCCCCC,1.5,,,0.0,citrate,PBS,handmixed,in_vivo,Mouse_B6,liver,intravenous,siRNA,FVII,100.0,protein_adundance_normalized,individual,-1.423253081,https://www.nature.com/articles/ncomms5277,24969323.0,41,0,0,32,584.5128233,68.31,0,7,7.7948,171.419,0.941176471,0,2,584.927,True,False,False
2176,LNP_0002176,KW_2014,KW_2014_F1189,A80_C13,CCCCCCCCCCCCCOC(=O)CCN(CCCN(C)C)CCC(=O)OCCCCCCCCCCCCC,CCCCCCCCCCCCCOC(=O)CCN(CCC[NH+](C)C)CCC(=O)OCCCCCCCCCCCCC,A80,,,,C13,C=CC(=O)OCCCCCCCCCCCCC,,,,,,,50.0,10.0,,DSPC,CCCCCCCCCCCCCCCCCC(=O)OC[C@H](COP(=O)([O-])OCC[N+](C)(C)C)OC(=O)CCCCCCCCCCCCCCCCC,10.0,Cholesterol,CC(C)CCC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CC=C4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@]12C,38.5,DMG-PEG2000,CCCCCCCCCCCCCC(=O)OCC(COCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOC)OC(=O)CCCCCCCCCCCCC,1.5,,,0.0,citrate,PBS,handmixed,in_vivo,Mouse_B6,liver,intravenous,siRNA,FVII,100.0,protein_adundance_normalized,individual,-0.459756445,https://www.nature.com/articles/ncomms5277,24969323.0,43,0,0,34,610.5648588,59.08,0,6,9.7287,183.685,0.945945946,0,2,611.009,True,False,False
2177,LNP_0002177,KW_2014,KW_2014_F1190,A81_C13,CCCCCCCCCCCCCOC(=O)CCN(CCCN(CC)CC)CCC(=O)OCCCCCCCCCCCCC,CCCCCCCCCCCCCOC(=O)CCN(CCC[NH+](CC)CC)CCC(=O)OCCCCCCCCCCCCC,A81,,,,C13,C=CC(=O)OCCCCCCCCCCCCC,,,,,,,50.0,10.0,,DSPC,CCCCCCCCCCCCCCCCCC(=O)OC[C@H](COP(=O)([O-])OCC[N+](C)(C)C)OC(=O)CCCCCCCCCCCCCCCCC,10.0,Cholesterol,CC(C)CCC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CC=C4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@]12C,38.5,DMG-PEG2000,CCCCCCCCCCCCCC(=O)OCC(COCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOC)OC(=O)CCCCCCCCCCCCC,1.5,,,0.0,citrate,PBS,handmixed,in_vivo,Mouse_B6,liver,intravenous,siRNA,FVII,100.0,protein_adundance_normalized,individual,0.184098397,https://www.nature.com/articles/ncomms5277,24969323.0,45,0,0,36,638.596159,59.08,0,6,10.5089,192.919,0.948717949,0,2,639.063,True,False,False
2178,LNP_0002178,KW_2014,KW_2014_F1191,A86_C12,CCCCCCCCCCCCOC(=O)CCN(CCC(=O)OCCCCCCCCCCCC)CCN(CCO)CCO,CCCCCCCCCCCCOC(=O)CCN(CCC(=O)OCCCCCCCCCCCC)CC[NH+](CCO)CCO,A86,,,,C12,C=CC(=O)OCCCCCCCCCCCC,,,,,,,50.0,10.0,,DSPC,CCCCCCCCCCCCCCCCCC(=O)OC[C@H](COP(=O)([O-])OCC[N+](C)(C)C)OC(=O)CCCCCCCCCCCCCCCCC,10.0,Cholesterol,CC(C)CCC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CC=C4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@]12C,38.5,DMG-PEG2000,CCCCCCCCCCCCCC(=O)OCC(COCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOC)OC(=O)CCCCCCCCCCCCC,1.5,,,0.0,citrate,PBS,handmixed,in_vivo,Mouse_B6,liver,intravenous,siRNA,FVII,100.0,protein_adundance_normalized,individual,-0.990670921,https://www.nature.com/articles/ncomms5277,24969323.0,44,0,0,35,628.539038,99.54,2,8,7.2834,181.8916,0.944444444,0,2,628.98,True,False,False
2179,LNP_0002179,KW_2014,KW_2014_F1192,A99_C11,CCCCCCCCCCCOC(=O)CCN(CCC(=O)OCCCCCCCCCCC)CCN(CCC(=O)OCCCCCCCCCCC)CCC(=O)OCCCCCCCCCCC,CCCCCCCCCCCOC(=O)CCN(CCC(=O)OCCCCCCCCCCC)CC[NH+](CCC(=O)OCCCCCCCCCCC)CCC(=O)OCCCCCCCCCCC,A99,,,,C11,C=CC(=O)OCCCCCCCCCCC,,,,,,,50.0,10.0,,DSPC,CCCCCCCCCCCCCCCCCC(=O)OC[C@H](COP(=O)([O-])OCC[N+](C)(C)C)OC(=O)CCCCCCCCCCCCCCCCC,10.0,Cholesterol,CC(C)CCC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CC=C4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@]12C,38.5,DMG-PEG2000,CCCCCCCCCCCCCC(=O)OCC(COCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOC)OC(=O)CCCCCCCCCCCCC,1.5,,,0.0,citrate,PBS,handmixed,in_vivo,Mouse_B6,liver,intravenous,siRNA,FVII,100.0,protein_adundance_normalized,individual,-0.070187073,https://www.nature.com/articles/ncomms5277,24969323.0,68,0,0,55,964.8418685,111.68,0,10,15.4468,284.092,0.931034483,0,2,965.54,True,False,False
2180,LNP_0002180,KW_2014,KW_2014_F1193,A109_C11,CCCCCCCCCCCOC(=O)CCN(CCO)CCN(CCC(=O)OCCCCCCCCCCC)CCC(=O)OCCCCCCCCCCC,CCCCCCCCCCCOC(=O)CCN(CCC(=O)OCCCCCCCCCCC)CC[NH+](CCO)CCC(=O)OCCCCCCCCCCC,A109,,,,C11,C=CC(=O)OCCCCCCCCCCC,,,,,,,50.0,10.0,,DSPC,CCCCCCCCCCCCCCCCCC(=O)OC[C@H](COP(=O)([O-])OCC[N+](C)(C)C)OC(=O)CCCCCCCCCCCCCCCCC,10.0,Cholesterol,CC(C)CCC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CC=C4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@]12C,38.5,DMG-PEG2000,CCCCCCCCCCCCCC(=O)OCC(COCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOC)OC(=O)CCCCCCCCCCCCC,1.5,,,0.0,citrate,PBS,handmixed,in_vivo,Mouse_B6,liver,intravenous,siRNA,FVII,100.0,protein_adundance_normalized,individual,-0.923338472,https://www.nature.com/articles/ncomms5277,24969323.0,55,0,0,44,782.6748032,105.61,1,9,10.975,228.3748,0.934782609,0,2,783.233,True,False,False
2181,LNP_0002181,KW_2014,KW_2014_F1194,A109_C12,CCCCCCCCCCCCOC(=O)CCN(CCO)CCN(CCC(=O)OCCCCCCCCCCCC)CCC(=O)OCCCCCCCCCCCC,CCCCCCCCCCCCOC(=O)CCN(CCC(=O)OCCCCCCCCCCCC)CC[NH+](CCO)CCC(=O)OCCCCCCCCCCCC,A109,,,,C12,C=CC(=O)OCCCCCCCCCCCC,,,,,,,50.0,10.0,,DSPC,CCCCCCCCCCCCCCCCCC(=O)OC[C@H](COP(=O)([O-])OCC[N+](C)(C)C)OC(=O)CCCCCCCCCCCCCCCCC,10.0,Cholesterol,CC(C)CCC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CC=C4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@]12C,38.5,DMG-PEG2000,CCCCCCCCCCCCCC(=O)OCC(COCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOC)OC(=O)CCCCCCCCCCCCC,1.5,,,0.0,citrate,PBS,handmixed,in_vivo,Mouse_B6,liver,intravenous,siRNA,FVII,100.0,protein_adundance_normalized,individual,-0.98688759,https://www.nature.com/articles/ncomms5277,24969323.0,58,0,0,47,824.7217534,105.61,1,9,12.1453,242.2258,0.93877551,0,2,825.314,True,False,False
2182,LNP_0002182,KW_2014,KW_2014_F1195,A109_C13,CCCCCCCCCCCCCOC(=O)CCN(CCO)CCN(CCC(=O)OCCCCCCCCCCCCC)CCC(=O)OCCCCCCCCCCCCC,CCCCCCCCCCCCCOC(=O)CCN(CCC(=O)OCCCCCCCCCCCCC)CC[NH+](CCO)CCC(=O)OCCCCCCCCCCCCC,A109,,,,C13,C=CC(=O)OCCCCCCCCCCCCC,,,,,,,50.0,10.0,,DSPC,CCCCCCCCCCCCCCCCCC(=O)OC[C@H](COP(=O)([O-])OCC[N+](C)(C)C)OC(=O)CCCCCCCCCCCCCCCCC,10.0,Cholesterol,CC(C)CCC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CC=C4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@]12C,38.5,DMG-PEG2000,CCCCCCCCCCCCCC(=O)OCC(COCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOC)OC(=O)CCCCCCCCCCCCC,1.5,,,0.0,citrate,PBS,handmixed,in_vivo,Mouse_B6,liver,intravenous,siRNA,FVII,100.0,protein_adundance_normalized,individual,-0.214599004,https://www.nature.com/articles/ncomms5277,24969323.0,61,0,0,50,866.7687036,105.61,1,9,13.3156,256.0768,0.942307692,0,2,867.395,True,False,False
2183,LNP_0002183,KW_2014,KW_2014_F1196,A110_C10,CCCCCCCCCCOC(=O)CCN(CCC(=O)OCCCCCCCCCC)CCN(CCN(CCC(=O)OCCCCCCCCCC)CCC(=O)OCCCCCCCCCC)CCN(CCC(=O)OCCCCCCCCCC)CCC(=O)OCCCCCCCCCC,CCCCCCCCCCOC(=O)CCN(CCC(=O)OCCCCCCCCCC)CC[NH+](CCN(CCC(=O)OCCCCCCCCCC)CCC(=O)OCCCCCCCCCC)CCN(CCC(=O)OCCCCCCCCCC)CCC(=O)OCCCCCCCCCC,A110,,,,C10,C=CC(=O)OCCCCCCCCCC,,,,,,,50.0,10.0,,DSPC,CCCCCCCCCCCCCCCCCC(=O)OC[C@H](COP(=O)([O-])OCC[N+](C)(C)C)OC(=O)CCCCCCCCCCCCCCCCC,10.0,Cholesterol,CC(C)CCC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CC=C4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@]12C,38.5,DMG-PEG2000,CCCCCCCCCCCCCC(=O)OCC(COCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOC)OC(=O)CCCCCCCCCCCCC,1.5,,,0.0,citrate,PBS,handmixed,in_vivo,Mouse_B6,liver,intravenous,siRNA,FVII,100.0,protein_adundance_normalized,individual,0.406230771,https://www.nature.com/articles/ncomms5277,24969323.0,100,0,0,81,1419.218927,170.76,0,16,20.6384,414.876,0.928571429,0,4,1420.236,True,False,False
2184,LNP_0002184,KW_2014,KW_2014_F1197,A110_C13,CCCCCCCCCCCCCOC(=O)CCN(CCC(=O)OCCCCCCCCCCCCC)CCN(CCN(CCC(=O)OCCCCCCCCCCCCC)CCC(=O)OCCCCCCCCCCCCC)CCN(CCC(=O)OCCCCCCCCCCCCC)CCC(=O)OCCCCCCCCCCCCC,CCCCCCCCCCCCCOC(=O)CCN(CCC(=O)OCCCCCCCCCCCCC)CC[NH+](CCN(CCC(=O)OCCCCCCCCCCCCC)CCC(=O)OCCCCCCCCCCCCC)CCN(CCC(=O)OCCCCCCCCCCCCC)CCC(=O)OCCCCCCCCCCCCC,A110,,,,C13,C=CC(=O)OCCCCCCCCCCCCC,,,,,,,50.0,10.0,,DSPC,CCCCCCCCCCCCCCCCCC(=O)OC[C@H](COP(=O)([O-])OCC[N+](C)(C)C)OC(=O)CCCCCCCCCCCCCCCCC,10.0,Cholesterol,CC(C)CCC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CC=C4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@]12C,38.5,DMG-PEG2000,CCCCCCCCCCCCCC(=O)OCC(COCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOC)OC(=O)CCCCCCCCCCCCC,1.5,,,0.0,citrate,PBS,handmixed,in_vivo,Mouse_B6,liver,intravenous,siRNA,FVII,100.0,protein_adundance_normalized,individual,1.288291352,https://www.nature.com/articles/ncomms5277,24969323.0,118,0,0,99,1671.500628,170.76,0,16,27.6602,497.982,0.941176471,0,4,1672.722,True,False,False
2185,LNP_0002185,KW_2014,KW_2014_F1198,A113_C10,CCCCCCCCCCOC(=O)CCN(CCC(=O)OCCCCCCCCCC)CCN(C)CCN(CCC(=O)OCCCCCCCCCC)CCC(=O)OCCCCCCCCCC,CCCCCCCCCCOC(=O)CCN(CCC(=O)OCCCCCCCCCC)CC[NH+](C)CCN(CCC(=O)OCCCCCCCCCC)CCC(=O)OCCCCCCCCCC,A113,,,,C10,C=CC(=O)OCCCCCCCCCC,,,,,,,50.0,10.0,,DSPC,CCCCCCCCCCCCCCCCCC(=O)OC[C@H](COP(=O)([O-])OCC[N+](C)(C)C)OC(=O)CCCCCCCCCCCCCCCCC,10.0,Cholesterol,CC(C)CCC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CC=C4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@]12C,38.5,DMG-PEG2000,CCCCCCCCCCCCCC(=O)OCC(COCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOC)OC(=O)CCCCCCCCCCCCC,1.5,,,0.0,citrate,PBS,handmixed,in_vivo,Mouse_B6,liver,intravenous,siRNA,FVII,100.0,protein_adundance_normalized,individual,0.954050246,https://www.nature.com/articles/ncomms5277,24969323.0,68,0,0,54,965.8371175,114.92,0,11,13.8182,283.121,0.929824561,0,3,966.528,True,False,False
2186,LNP_0002186,KW_2014,KW_2014_F1199,A113_C11,CCCCCCCCCCCOC(=O)CCN(CCC(=O)OCCCCCCCCCCC)CCN(C)CCN(CCC(=O)OCCCCCCCCCCC)CCC(=O)OCCCCCCCCCCC,CCCCCCCCCCCOC(=O)CCN(CCC(=O)OCCCCCCCCCCC)CC[NH+](C)CCN(CCC(=O)OCCCCCCCCCCC)CCC(=O)OCCCCCCCCCCC,A113,,,,C11,C=CC(=O)OCCCCCCCCCCC,,,,,,,50.0,10.0,,DSPC,CCCCCCCCCCCCCCCCCC(=O)OC[C@H](COP(=O)([O-])OCC[N+](C)(C)C)OC(=O)CCCCCCCCCCCCCCCCC,10.0,Cholesterol,CC(C)CCC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CC=C4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@]12C,38.5,DMG-PEG2000,CCCCCCCCCCCCCC(=O)OCC(COCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOC)OC(=O)CCCCCCCCCCCCC,1.5,,,0.0,citrate,PBS,handmixed,in_vivo,Mouse_B6,liver,intravenous,siRNA,FVII,100.0,protein_adundance_normalized,individual,0.113716999,https://www.nature.com/articles/ncomms5277,24969323.0,72,0,0,58,1021.899718,114.92,0,11,15.3786,301.589,0.93442623,0,3,1022.636,True,False,False
