Lipid_name,Num_tails,MolWt,Num_carbon_in_tail,num_unsaturated_cc_bonds,num_protonatable_nitrogens
C12-200,5,1136.959999999999,12,0,5
C12-200,5,1136.959999999999,12,0,5
C12-200,5,1136.959999999999,12,0,5
C12-200,5,1136.959999999999,12,0,5
C12-200,5,1136.959999999999,12,0,5
CKK-E12,4,993.6419999999989,12,0,2
CKK-E12,4,993.6419999999989,12,0,2
CKK-E12,4,993.6419999999989,12,0,2
CKK-E12,4,993.6419999999989,12,0,2
CKK-E12,4,993.6419999999989,12,0,2
CKK-E12,4,993.6419999999989,12,0,2
CKK-E12,4,993.6419999999989,12,0,2
CKK-E12,4,993.6419999999989,12,0,2
CKK-E12,4,993.6419999999989,12,0,2
CKK-E12,4,993.6419999999989,12,0,2
CKK-E12,4,993.6419999999989,12,0,2
L319,2,678.0520000000001,9,2,1
L319,2,678.0520000000001,9,2,1
L319,2,678.0520000000001,9,2,1
L319,2,678.0520000000001,9,2,1
L319,2,678.0520000000001,9,2,1
L319,2,678.0520000000001,9,2,1
L319,2,678.0520000000001,9,2,1
L319,2,678.0520000000001,9,2,1
L319,2,678.0520000000001,9,2,1
L319,2,678.0520000000001,9,2,1
ALC-0315,2,766.2899999999997,10,0,1
ALC-0315,2,766.2899999999997,10,0,1
ALC-0315,2,766.2899999999997,10,0,1
ALC-0315,2,766.2899999999997,10,0,1
ALC-0315,2,766.2899999999997,10,0,1
ALC-0315,2,766.2899999999997,10,0,1
ALC-0315,2,766.2899999999997,10,0,1
ALC-0315,2,766.2899999999997,10,0,1
ALC-0315,2,766.2899999999997,10,0,1
ALC-0315,2,766.2899999999997,10,0,1
ALC-0315,2,766.2899999999997,10,0,1
DLin-MC3-DMA,2,642.1100000000001,18,4,1
DLin-MC3-DMA,2,642.1100000000001,18,4,1
DLin-MC3-DMA,2,642.1100000000001,18,4,1
DLin-MC3-DMA,2,642.1100000000001,18,4,1
DLin-MC3-DMA,2,642.1100000000001,18,4,1
DLin-MC3-DMA,2,642.1100000000001,18,4,1
DLin-MC3-DMA,2,642.1100000000001,18,4,1
DLin-MC3-DMA,2,642.1100000000001,18,4,1
DLin-MC3-DMA,2,642.1100000000001,18,4,1
DLin-MC3-DMA,2,642.1100000000001,18,4,1
KC2,2,642.1100000000001,18,4,1
KC2,2,642.1100000000001,18,4,1
KC2,2,642.1100000000001,18,4,1
KC2,2,642.1100000000001,18,4,1
KC2,2,642.1100000000001,18,4,1
KC2,2,642.1100000000001,18,4,1
KC2,2,642.1100000000001,18,4,1
KC2,2,642.1100000000001,18,4,1
KC2,2,642.1100000000001,18,4,1
KC2,2,642.1100000000001,18,4,1
KC2,2,642.1100000000001,18,4,1
SM-102,2,710.1819999999999,9,0,1
SM-102,2,710.1819999999999,9,0,1
SM-102,2,710.1819999999999,9,0,1
SM-102,2,710.1819999999999,9,0,1
SM-102,2,710.1819999999999,9,0,1
SM-102,2,710.1819999999999,9,0,1
SM-102,2,710.1819999999999,9,0,1
SM-102,2,710.1819999999999,9,0,1
SM-102,2,710.1819999999999,9,0,1
SM-102,2,710.1819999999999,9,0,1
SM-102,2,710.1819999999999,9,0,1
C12-200,5,1136.959999999999,12,0,5
C12-200,5,1136.959999999999,12,0,5
C12-200,5,1136.959999999999,12,0,5
C12-200,5,1136.959999999999,12,0,5
C12-200,5,1136.959999999999,12,0,5
C12-200,5,1136.959999999999,12,0,5
C12-200,5,1136.959999999999,12,0,5
C12-200,5,1136.959999999999,12,0,5
C12-200,5,1136.959999999999,12,0,5
C12-200,5,1136.959999999999,12,0,5
C12-200,5,1136.959999999999,12,0,5
CKK-E12,4,993.6419999999989,12,0,2
CKK-E12,4,993.6419999999989,12,0,2
CKK-E12,4,993.6419999999989,12,0,2
CKK-E12,4,993.6419999999989,12,0,2
CKK-E12,4,993.6419999999989,12,0,2
CKK-E12,4,993.6419999999989,12,0,2
CKK-E12,4,993.6419999999989,12,0,2
CKK-E12,4,993.6419999999989,12,0,2
CKK-E12,4,993.6419999999989,12,0,2
CKK-E12,4,993.6419999999989,12,0,2
CKK-E12,4,993.6419999999989,12,0,2
L319,2,678.0520000000001,9,2,1
L319,2,678.0520000000001,9,2,1
L319,2,678.0520000000001,9,2,1
L319,2,678.0520000000001,9,2,1
L319,2,678.0520000000001,9,2,1
L319,2,678.0520000000001,9,2,1
L319,2,678.0520000000001,9,2,1
L319,2,678.0520000000001,9,2,1
L319,2,678.0520000000001,9,2,1
L319,2,678.0520000000001,9,2,1
ALC-0315,2,766.2899999999997,10,0,1
ALC-0315,2,766.2899999999997,10,0,1
ALC-0315,2,766.2899999999997,10,0,1
ALC-0315,2,766.2899999999997,10,0,1
ALC-0315,2,766.2899999999997,10,0,1
ALC-0315,2,766.2899999999997,10,0,1
ALC-0315,2,766.2899999999997,10,0,1
ALC-0315,2,766.2899999999997,10,0,1
ALC-0315,2,766.2899999999997,10,0,1
ALC-0315,2,766.2899999999997,10,0,1
ALC-0315,2,766.2899999999997,10,0,1
DLin-MC3-DMA,2,642.1100000000001,18,4,1
DLin-MC3-DMA,2,642.1100000000001,18,4,1
DLin-MC3-DMA,2,642.1100000000001,18,4,1
DLin-MC3-DMA,2,642.1100000000001,18,4,1
DLin-MC3-DMA,2,642.1100000000001,18,4,1
DLin-MC3-DMA,2,642.1100000000001,18,4,1
DLin-MC3-DMA,2,642.1100000000001,18,4,1
DLin-MC3-DMA,2,642.1100000000001,18,4,1
DLin-MC3-DMA,2,642.1100000000001,18,4,1
DLin-MC3-DMA,2,642.1100000000001,18,4,1
KC2,2,642.1100000000001,18,4,1
KC2,2,642.1100000000001,18,4,1
KC2,2,642.1100000000001,18,4,1
KC2,2,642.1100000000001,18,4,1
KC2,2,642.1100000000001,18,4,1
KC2,2,642.1100000000001,18,4,1
KC2,2,642.1100000000001,18,4,1
KC2,2,642.1100000000001,18,4,1
KC2,2,642.1100000000001,18,4,1
KC2,2,642.1100000000001,18,4,1
KC2,2,642.1100000000001,18,4,1
SM-102,2,710.1819999999999,9,0,1
SM-102,2,710.1819999999999,9,0,1
SM-102,2,710.1819999999999,9,0,1
SM-102,2,710.1819999999999,9,0,1
SM-102,2,710.1819999999999,9,0,1
SM-102,2,710.1819999999999,9,0,1
SM-102,2,710.1819999999999,9,0,1
SM-102,2,710.1819999999999,9,0,1
SM-102,2,710.1819999999999,9,0,1
SM-102,2,710.1819999999999,9,0,1
SM-102,2,710.1819999999999,9,0,1
C12-200,5,1136.959999999999,12,0,5
C12-200,5,1136.959999999999,12,0,5
C12-200,5,1136.959999999999,12,0,5
C12-200,5,1136.959999999999,12,0,5
C12-200,5,1136.959999999999,12,0,5
C12-200,5,1136.959999999999,12,0,5
C12-200,5,1136.959999999999,12,0,5
C12-200,5,1136.959999999999,12,0,5
C12-200,5,1136.959999999999,12,0,5
C12-200,5,1136.959999999999,12,0,5
C12-200,5,1136.959999999999,12,0,5
CKK-E12,4,993.6419999999989,12,0,2
CKK-E12,4,993.6419999999989,12,0,2
CKK-E12,4,993.6419999999989,12,0,2
CKK-E12,4,993.6419999999989,12,0,2
CKK-E12,4,993.6419999999989,12,0,2
CKK-E12,4,993.6419999999989,12,0,2
CKK-E12,4,993.6419999999989,12,0,2
CKK-E12,4,993.6419999999989,12,0,2
CKK-E12,4,993.6419999999989,12,0,2
CKK-E12,4,993.6419999999989,12,0,2
CKK-E12,4,993.6419999999989,12,0,2
L319,2,678.0520000000001,9,2,1
L319,2,678.0520000000001,9,2,1
L319,2,678.0520000000001,9,2,1
L319,2,678.0520000000001,9,2,1
L319,2,678.0520000000001,9,2,1
L319,2,678.0520000000001,9,2,1
L319,2,678.0520000000001,9,2,1
L319,2,678.0520000000001,9,2,1
L319,2,678.0520000000001,9,2,1
L319,2,678.0520000000001,9,2,1
ALC-0315,2,766.2899999999997,10,0,1
ALC-0315,2,766.2899999999997,10,0,1
ALC-0315,2,766.2899999999997,10,0,1
ALC-0315,2,766.2899999999997,10,0,1
ALC-0315,2,766.2899999999997,10,0,1
ALC-0315,2,766.2899999999997,10,0,1
ALC-0315,2,766.2899999999997,10,0,1
ALC-0315,2,766.2899999999997,10,0,1
ALC-0315,2,766.2899999999997,10,0,1
ALC-0315,2,766.2899999999997,10,0,1
ALC-0315,2,766.2899999999997,10,0,1
DLin-MC3-DMA,2,642.1100000000001,18,4,1
DLin-MC3-DMA,2,642.1100000000001,18,4,1
DLin-MC3-DMA,2,642.1100000000001,18,4,1
DLin-MC3-DMA,2,642.1100000000001,18,4,1
DLin-MC3-DMA,2,642.1100000000001,18,4,1
DLin-MC3-DMA,2,642.1100000000001,18,4,1
DLin-MC3-DMA,2,642.1100000000001,18,4,1
DLin-MC3-DMA,2,642.1100000000001,18,4,1
DLin-MC3-DMA,2,642.1100000000001,18,4,1
DLin-MC3-DMA,2,642.1100000000001,18,4,1
KC2,2,642.1100000000001,18,4,1
KC2,2,642.1100000000001,18,4,1
KC2,2,642.1100000000001,18,4,1
KC2,2,642.1100000000001,18,4,1
KC2,2,642.1100000000001,18,4,1
KC2,2,642.1100000000001,18,4,1
KC2,2,642.1100000000001,18,4,1
KC2,2,642.1100000000001,18,4,1
KC2,2,642.1100000000001,18,4,1
KC2,2,642.1100000000001,18,4,1
KC2,2,642.1100000000001,18,4,1
SM-102,2,710.1819999999999,9,0,1
SM-102,2,710.1819999999999,9,0,1
SM-102,2,710.1819999999999,9,0,1
SM-102,2,710.1819999999999,9,0,1
SM-102,2,710.1819999999999,9,0,1
SM-102,2,710.1819999999999,9,0,1
SM-102,2,710.1819999999999,9,0,1
SM-102,2,710.1819999999999,9,0,1
SM-102,2,710.1819999999999,9,0,1
SM-102,2,710.1819999999999,9,0,1
SM-102,2,710.1819999999999,9,0,1
C12-200,5,1136.959999999999,12,0,5
C12-200,5,1136.959999999999,12,0,5
C12-200,5,1136.959999999999,12,0,5
C12-200,5,1136.959999999999,12,0,5
C12-200,5,1136.959999999999,12,0,5
C12-200,5,1136.959999999999,12,0,5
C12-200,5,1136.959999999999,12,0,5
C12-200,5,1136.959999999999,12,0,5
C12-200,5,1136.959999999999,12,0,5
C12-200,5,1136.959999999999,12,0,5
C12-200,5,1136.959999999999,12,0,5
CKK-E12,4,993.6419999999989,12,0,2
CKK-E12,4,993.6419999999989,12,0,2
CKK-E12,4,993.6419999999989,12,0,2
CKK-E12,4,993.6419999999989,12,0,2
CKK-E12,4,993.6419999999989,12,0,2
CKK-E12,4,993.6419999999989,12,0,2
CKK-E12,4,993.6419999999989,12,0,2
CKK-E12,4,993.6419999999989,12,0,2
CKK-E12,4,993.6419999999989,12,0,2
CKK-E12,4,993.6419999999989,12,0,2
CKK-E12,4,993.6419999999989,12,0,2
L319,2,678.0520000000001,9,2,1
L319,2,678.0520000000001,9,2,1
L319,2,678.0520000000001,9,2,1
L319,2,678.0520000000001,9,2,1
L319,2,678.0520000000001,9,2,1
L319,2,678.0520000000001,9,2,1
L319,2,678.0520000000001,9,2,1
L319,2,678.0520000000001,9,2,1
L319,2,678.0520000000001,9,2,1
L319,2,678.0520000000001,9,2,1
ALC-0315,2,766.2899999999997,10,0,1
ALC-0315,2,766.2899999999997,10,0,1
ALC-0315,2,766.2899999999997,10,0,1
ALC-0315,2,766.2899999999997,10,0,1
ALC-0315,2,766.2899999999997,10,0,1
ALC-0315,2,766.2899999999997,10,0,1
ALC-0315,2,766.2899999999997,10,0,1
ALC-0315,2,766.2899999999997,10,0,1
ALC-0315,2,766.2899999999997,10,0,1
ALC-0315,2,766.2899999999997,10,0,1
ALC-0315,2,766.2899999999997,10,0,1
DLin-MC3-DMA,2,642.1100000000001,18,4,1
DLin-MC3-DMA,2,642.1100000000001,18,4,1
DLin-MC3-DMA,2,642.1100000000001,18,4,1
DLin-MC3-DMA,2,642.1100000000001,18,4,1
DLin-MC3-DMA,2,642.1100000000001,18,4,1
DLin-MC3-DMA,2,642.1100000000001,18,4,1
DLin-MC3-DMA,2,642.1100000000001,18,4,1
DLin-MC3-DMA,2,642.1100000000001,18,4,1
DLin-MC3-DMA,2,642.1100000000001,18,4,1
DLin-MC3-DMA,2,642.1100000000001,18,4,1
KC2,2,642.1100000000001,18,4,1
KC2,2,642.1100000000001,18,4,1
KC2,2,642.1100000000001,18,4,1
KC2,2,642.1100000000001,18,4,1
KC2,2,642.1100000000001,18,4,1
KC2,2,642.1100000000001,18,4,1
KC2,2,642.1100000000001,18,4,1
KC2,2,642.1100000000001,18,4,1
KC2,2,642.1100000000001,18,4,1
KC2,2,642.1100000000001,18,4,1
KC2,2,642.1100000000001,18,4,1
SM-102,2,710.1819999999999,9,0,1
SM-102,2,710.1819999999999,9,0,1
SM-102,2,710.1819999999999,9,0,1
SM-102,2,710.1819999999999,9,0,1
SM-102,2,710.1819999999999,9,0,1
SM-102,2,710.1819999999999,9,0,1
SM-102,2,710.1819999999999,9,0,1
SM-102,2,710.1819999999999,9,0,1
SM-102,2,710.1819999999999,9,0,1
SM-102,2,710.1819999999999,9,0,1
SM-102,2,710.1819999999999,9,0,1
C12-200,5,1136.959999999999,12,0,5
C12-200,5,1136.959999999999,12,0,5
C12-200,5,1136.959999999999,12,0,5
C12-200,5,1136.959999999999,12,0,5
C12-200,5,1136.959999999999,12,0,5
C12-200,5,1136.959999999999,12,0,5
C12-200,5,1136.959999999999,12,0,5
C12-200,5,1136.959999999999,12,0,5
C12-200,5,1136.959999999999,12,0,5
C12-200,5,1136.959999999999,12,0,5
C12-200,5,1136.959999999999,12,0,5
CKK-E12,4,993.6419999999989,12,0,2
CKK-E12,4,993.6419999999989,12,0,2
CKK-E12,4,993.6419999999989,12,0,2
CKK-E12,4,993.6419999999989,12,0,2
CKK-E12,4,993.6419999999989,12,0,2
CKK-E12,4,993.6419999999989,12,0,2
CKK-E12,4,993.6419999999989,12,0,2
CKK-E12,4,993.6419999999989,12,0,2
CKK-E12,4,993.6419999999989,12,0,2
CKK-E12,4,993.6419999999989,12,0,2
CKK-E12,4,993.6419999999989,12,0,2
L319,2,678.0520000000001,9,2,1
L319,2,678.0520000000001,9,2,1
L319,2,678.0520000000001,9,2,1
L319,2,678.0520000000001,9,2,1
L319,2,678.0520000000001,9,2,1
L319,2,678.0520000000001,9,2,1
L319,2,678.0520000000001,9,2,1
L319,2,678.0520000000001,9,2,1
L319,2,678.0520000000001,9,2,1
L319,2,678.0520000000001,9,2,1
ALC-0315,2,766.2899999999997,10,0,1
ALC-0315,2,766.2899999999997,10,0,1
ALC-0315,2,766.2899999999997,10,0,1
ALC-0315,2,766.2899999999997,10,0,1
ALC-0315,2,766.2899999999997,10,0,1
ALC-0315,2,766.2899999999997,10,0,1
ALC-0315,2,766.2899999999997,10,0,1
ALC-0315,2,766.2899999999997,10,0,1
ALC-0315,2,766.2899999999997,10,0,1
ALC-0315,2,766.2899999999997,10,0,1
ALC-0315,2,766.2899999999997,10,0,1
DLin-MC3-DMA,2,642.1100000000001,18,4,1
DLin-MC3-DMA,2,642.1100000000001,18,4,1
DLin-MC3-DMA,2,642.1100000000001,18,4,1
DLin-MC3-DMA,2,642.1100000000001,18,4,1
DLin-MC3-DMA,2,642.1100000000001,18,4,1
DLin-MC3-DMA,2,642.1100000000001,18,4,1
DLin-MC3-DMA,2,642.1100000000001,18,4,1
DLin-MC3-DMA,2,642.1100000000001,18,4,1
DLin-MC3-DMA,2,642.1100000000001,18,4,1
DLin-MC3-DMA,2,642.1100000000001,18,4,1
KC2,2,642.1100000000001,18,4,1
KC2,2,642.1100000000001,18,4,1
KC2,2,642.1100000000001,18,4,1
KC2,2,642.1100000000001,18,4,1
KC2,2,642.1100000000001,18,4,1
KC2,2,642.1100000000001,18,4,1
KC2,2,642.1100000000001,18,4,1
KC2,2,642.1100000000001,18,4,1
KC2,2,642.1100000000001,18,4,1
KC2,2,642.1100000000001,18,4,1
KC2,2,642.1100000000001,18,4,1
SM-102,2,710.1819999999999,9,0,1
SM-102,2,710.1819999999999,9,0,1
SM-102,2,710.1819999999999,9,0,1
SM-102,2,710.1819999999999,9,0,1
SM-102,2,710.1819999999999,9,0,1
SM-102,2,710.1819999999999,9,0,1
SM-102,2,710.1819999999999,9,0,1
SM-102,2,710.1819999999999,9,0,1
SM-102,2,710.1819999999999,9,0,1
SM-102,2,710.1819999999999,9,0,1
SM-102,2,710.1819999999999,9,0,1
C12-200,5,1136.959999999999,12,0,5
C12-200,5,1136.959999999999,12,0,5
C12-200,5,1136.959999999999,12,0,5
C12-200,5,1136.959999999999,12,0,5
C12-200,5,1136.959999999999,12,0,5
C12-200,5,1136.959999999999,12,0,5
C12-200,5,1136.959999999999,12,0,5
C12-200,5,1136.959999999999,12,0,5
C12-200,5,1136.959999999999,12,0,5
C12-200,5,1136.959999999999,12,0,5
C12-200,5,1136.959999999999,12,0,5
CKK-E12,4,993.6419999999989,12,0,2
CKK-E12,4,993.6419999999989,12,0,2
CKK-E12,4,993.6419999999989,12,0,2
CKK-E12,4,993.6419999999989,12,0,2
CKK-E12,4,993.6419999999989,12,0,2
CKK-E12,4,993.6419999999989,12,0,2
CKK-E12,4,993.6419999999989,12,0,2
CKK-E12,4,993.6419999999989,12,0,2
CKK-E12,4,993.6419999999989,12,0,2
CKK-E12,4,993.6419999999989,12,0,2
CKK-E12,4,993.6419999999989,12,0,2
L319,2,678.0520000000001,9,2,1
L319,2,678.0520000000001,9,2,1
L319,2,678.0520000000001,9,2,1
L319,2,678.0520000000001,9,2,1
L319,2,678.0520000000001,9,2,1
L319,2,678.0520000000001,9,2,1
L319,2,678.0520000000001,9,2,1
L319,2,678.0520000000001,9,2,1
L319,2,678.0520000000001,9,2,1
L319,2,678.0520000000001,9,2,1
ALC-0315,2,766.2899999999997,10,0,1
ALC-0315,2,766.2899999999997,10,0,1
ALC-0315,2,766.2899999999997,10,0,1
ALC-0315,2,766.2899999999997,10,0,1
ALC-0315,2,766.2899999999997,10,0,1
ALC-0315,2,766.2899999999997,10,0,1
ALC-0315,2,766.2899999999997,10,0,1
ALC-0315,2,766.2899999999997,10,0,1
ALC-0315,2,766.2899999999997,10,0,1
ALC-0315,2,766.2899999999997,10,0,1
ALC-0315,2,766.2899999999997,10,0,1
DLin-MC3-DMA,2,642.1100000000001,18,4,1
DLin-MC3-DMA,2,642.1100000000001,18,4,1
DLin-MC3-DMA,2,642.1100000000001,18,4,1
DLin-MC3-DMA,2,642.1100000000001,18,4,1
DLin-MC3-DMA,2,642.1100000000001,18,4,1
DLin-MC3-DMA,2,642.1100000000001,18,4,1
DLin-MC3-DMA,2,642.1100000000001,18,4,1
DLin-MC3-DMA,2,642.1100000000001,18,4,1
DLin-MC3-DMA,2,642.1100000000001,18,4,1
DLin-MC3-DMA,2,642.1100000000001,18,4,1
KC2,2,642.1100000000001,18,4,1
KC2,2,642.1100000000001,18,4,1
KC2,2,642.1100000000001,18,4,1
KC2,2,642.1100000000001,18,4,1
KC2,2,642.1100000000001,18,4,1
KC2,2,642.1100000000001,18,4,1
KC2,2,642.1100000000001,18,4,1
KC2,2,642.1100000000001,18,4,1
KC2,2,642.1100000000001,18,4,1
KC2,2,642.1100000000001,18,4,1
KC2,2,642.1100000000001,18,4,1
SM-102,2,710.1819999999999,9,0,1
SM-102,2,710.1819999999999,9,0,1
SM-102,2,710.1819999999999,9,0,1
SM-102,2,710.1819999999999,9,0,1
SM-102,2,710.1819999999999,9,0,1
SM-102,2,710.1819999999999,9,0,1
SM-102,2,710.1819999999999,9,0,1
SM-102,2,710.1819999999999,9,0,1
SM-102,2,710.1819999999999,9,0,1
SM-102,2,710.1819999999999,9,0,1
SM-102,2,710.1819999999999,9,0,1
C12-200,5,1136.959999999999,12,0,5
C12-200,5,1136.959999999999,12,0,5
C12-200,5,1136.959999999999,12,0,5
C12-200,5,1136.959999999999,12,0,5
C12-200,5,1136.959999999999,12,0,5
C12-200,5,1136.959999999999,12,0,5
C12-200,5,1136.959999999999,12,0,5
C12-200,5,1136.959999999999,12,0,5
C12-200,5,1136.959999999999,12,0,5
C12-200,5,1136.959999999999,12,0,5
C12-200,5,1136.959999999999,12,0,5
CKK-E12,4,993.6419999999989,12,0,2
CKK-E12,4,993.6419999999989,12,0,2
CKK-E12,4,993.6419999999989,12,0,2
CKK-E12,4,993.6419999999989,12,0,2
CKK-E12,4,993.6419999999989,12,0,2
CKK-E12,4,993.6419999999989,12,0,2
CKK-E12,4,993.6419999999989,12,0,2
CKK-E12,4,993.6419999999989,12,0,2
CKK-E12,4,993.6419999999989,12,0,2
CKK-E12,4,993.6419999999989,12,0,2
CKK-E12,4,993.6419999999989,12,0,2
L319,2,678.0520000000001,9,2,1
L319,2,678.0520000000001,9,2,1
L319,2,678.0520000000001,9,2,1
L319,2,678.0520000000001,9,2,1
L319,2,678.0520000000001,9,2,1
L319,2,678.0520000000001,9,2,1
L319,2,678.0520000000001,9,2,1
L319,2,678.0520000000001,9,2,1
L319,2,678.0520000000001,9,2,1
L319,2,678.0520000000001,9,2,1
ALC-0315,2,766.2899999999997,10,0,1
ALC-0315,2,766.2899999999997,10,0,1
ALC-0315,2,766.2899999999997,10,0,1
ALC-0315,2,766.2899999999997,10,0,1
ALC-0315,2,766.2899999999997,10,0,1
ALC-0315,2,766.2899999999997,10,0,1
ALC-0315,2,766.2899999999997,10,0,1
ALC-0315,2,766.2899999999997,10,0,1
ALC-0315,2,766.2899999999997,10,0,1
ALC-0315,2,766.2899999999997,10,0,1
ALC-0315,2,766.2899999999997,10,0,1
